Absolute path;Relative path;Class
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0001.txt;..\dataset\good\0001.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0002.txt;..\dataset\good\0002.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0003.txt;..\dataset\good\0003.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0004.txt;..\dataset\good\0004.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0005.txt;..\dataset\good\0005.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0006.txt;..\dataset\good\0006.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0007.txt;..\dataset\good\0007.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0008.txt;..\dataset\good\0008.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0009.txt;..\dataset\good\0009.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0010.txt;..\dataset\good\0010.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0011.txt;..\dataset\good\0011.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0012.txt;..\dataset\good\0012.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0013.txt;..\dataset\good\0013.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0014.txt;..\dataset\good\0014.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0015.txt;..\dataset\good\0015.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0016.txt;..\dataset\good\0016.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0017.txt;..\dataset\good\0017.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0018.txt;..\dataset\good\0018.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0019.txt;..\dataset\good\0019.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0020.txt;..\dataset\good\0020.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0021.txt;..\dataset\good\0021.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0022.txt;..\dataset\good\0022.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0023.txt;..\dataset\good\0023.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0024.txt;..\dataset\good\0024.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0025.txt;..\dataset\good\0025.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0026.txt;..\dataset\good\0026.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0027.txt;..\dataset\good\0027.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0028.txt;..\dataset\good\0028.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0029.txt;..\dataset\good\0029.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0030.txt;..\dataset\good\0030.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0031.txt;..\dataset\good\0031.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0032.txt;..\dataset\good\0032.txt;good
